Nama,KloroGreen,KloroRedEdge,CaroGreen,CaroRedEdge,Antho
TH-47,1.348923868,-0.004852843,0.551597317,1.819470726,1.267873409
TH-5,1.389844625,-0.04475167,0.411430629,1.788190088,1.376759459
TH-6,1.500312517,-0.025570223,0.4470034,1.89694434,1.449940939
TH-7,1.407019019,-0.027449393,0.448051491,1.796733336,1.348681845
TH-8,1.316412846,-0.016795282,0.448949529,1.696512061,1.247562532
TH-9,1.303100905,-0.045285189,0.489545933,1.765122812,1.275576879
TM-1,1.547158736,-0.080031492,0.330431325,1.981650611,1.651219286
TM-10,1.417682668,-0.089474361,0.327050665,1.859840952,1.532790287
TM-100,1.190554333,-0.032900842,0.593347487,1.77266816,1.179320673
TM-101,1.077610902,-0.048626921,0.626822977,1.712474756,1.085651779
TM-102,1.59899812,-0.029347856,0.439656435,2.042252236,1.602595801
TM-103,1.222357994,-0.067540234,0.462477426,1.759146788,1.296669362
TM-11,1.324800419,-0.067575568,0.447402993,1.814563494,1.367160501
TM-12,1.524879405,-0.067153284,0.282276901,1.885899811,1.60362291
TM-13,1.307407411,-0.083957288,0.335246188,1.75479319,1.419547001
TM-14,1.136404632,-0.055849921,0.512503369,1.657794905,1.145291536
TM-15,1.389193574,-0.069097411,0.364251614,1.837014115,1.472762501
TM-16,1.589173735,-0.078622299,0.339021544,2.019136796,1.680115252
TM-17,1.430985927,-0.087934572,0.304645788,1.8498281,1.545182313
TM-18,1.077871984,-0.107576023,0.408050306,1.619066241,1.211015935
TM-19,1.375706557,-0.071108229,0.481800776,1.917222808,1.435422032
TM-2,1.448077819,-0.074733939,0.358786098,1.893932766,1.535146668
TM-20,1.19511949,-0.048698615,0.383791863,1.607327909,1.223536046
TM-21,1.402111312,-0.069195539,0.38162699,1.847835669,1.46620868
TM-22,1.486960952,-0.083506353,0.281293449,1.880708307,1.599414859
TM-23,1.463651774,-0.072993045,0.284589143,1.854995371,1.570406228
TM-24,1.401195663,-0.075771843,0.394394311,1.871862709,1.477468398
TM-25,1.439212643,-0.083140324,0.260646032,1.830615883,1.569969852
TM-26,1.522492587,-0.065920194,0.292001482,1.897706228,1.605704746
TM-27,1.401879397,-0.076684599,0.418245288,1.901169846,1.482924558
TM-28,1.462729845,-0.084219774,0.277809323,1.8678433,1.590033978
TM-29,0.742149622,-0.074932353,0.409810339,1.221996744,0.812186404
TM-3,1.424410927,-0.094462709,0.36056042,1.912031235,1.551470815
TM-30,1.373547904,-0.076190201,0.313823916,1.794859109,1.481035193
TM-31,1.484786496,-0.076768196,0.302700299,1.884837454,1.582137155
TM-32,1.497155869,-0.047224982,0.384209186,1.916085884,1.531876699
TM-33,1.43102858,-0.078739347,0.282145909,1.831193251,1.549047342
TM-34,1.376909025,-0.084268693,0.315797357,1.81239497,1.496597613
TM-35,1.545396702,-0.062100072,0.333761978,1.948412776,1.614650798
TM-36,1.427127821,-0.046155742,0.439090134,1.912009821,1.472919687
TM-37,1.509844897,-0.051503476,0.426248333,1.991044257,1.564795924
TM-38,1.564816756,-0.054635716,0.370500207,2.003107328,1.63260712
TM-39,1.469987573,-0.068357579,0.422210492,1.979244453,1.557033961
TM-4,1.193535524,-0.060933342,0.435233568,1.682552733,1.247319164
TM-40,1.55954345,-0.054864186,0.38065339,2.011298473,1.630645084
TM-41,1.510795767,-0.074813996,0.384714318,2.01666037,1.631946052
TM-42,1.441305348,-0.058174509,0.439498349,1.942645515,1.503147166
TM-43,1.467162417,-0.060242982,0.430306381,1.96992724,1.539620859
TM-44,1.456577852,-0.044399243,0.47521261,1.963408141,1.488195531
TM-45,1.460476809,-0.070788939,0.363056563,1.911663878,1.548607315
TM-46,1.370502043,-0.04669849,0.46119035,1.857737273,1.396546923
TM-47,1.334424101,-0.079171218,0.39614961,1.847046157,1.450896547
TM-48,1.546667068,-0.043999304,0.434598034,2.024916587,1.590318553
TM-49,1.302450705,-0.07831198,0.447193813,1.847774065,1.400580252
TM-5,1.562252085,-0.071684045,0.289721806,1.953189698,1.663467893
TM-50,1.180757242,-0.062657647,0.510996785,1.7455864,1.234589615
TM-51,1.46512504,-0.06591076,0.348533138,1.90759556,1.559062422
TM-52,1.490819351,-0.049438024,0.449774596,1.99062359,1.540848995
TM-53,1.288308173,-0.088595153,0.395778488,1.798409324,1.402630836
TM-54,0.973929379,-0.081942178,0.43363238,1.486707308,1.053074928
TM-55,1.048667709,-0.094912052,0.45500751,1.598653051,1.143645541
TM-56,1.344849961,-0.073500231,0.422535717,1.863193094,1.440657377
TM-57,0.858413977,-0.075667441,0.481129384,1.398837186,0.917707801
TM-58,1.310917896,-0.079016171,0.43614883,1.852495422,1.416346592
TM-59,1.147597233,-0.094735654,0.449490718,1.720858145,1.271367427
TM-6,1.139939771,-0.065886724,0.48161933,1.654552819,1.172933488
TM-60,1.212223516,-0.069205099,0.439693839,1.724448429,1.28475459
TM-61,1.323173283,-0.08217067,0.414137058,1.839842393,1.425705335
TM-62,1.401487267,-0.074309093,0.475801755,1.974476738,1.498674983
TM-63,1.306365129,-0.029763389,0.606352956,1.87892333,1.272570374
TM-64,1.1904387,0.020574544,0.639785155,1.664292428,1.024507273
TM-65,0.973855019,-0.016645186,0.629496866,1.5112766,0.881779734
TM-66,1.471880302,-0.001028058,0.521086594,1.909684876,1.388598282
TM-67,0.888908875,-0.06031394,0.413477627,1.28323103,0.869753403
TM-68,1.089784037,-0.005949743,0.630653779,1.606220034,0.975566254
TM-69,1.440769446,-0.04077128,0.599100678,2.042307924,1.443207246
TM-7,1.272920076,-0.072670396,0.373046372,1.731443742,1.35839737
TM-70,1.58923678,0.000482321,0.634465394,2.136043756,1.501578362
TM-71,1.478939951,-0.010691132,0.568390451,1.988128682,1.419738231
TM-72,1.498791544,-0.011620162,0.541795887,2.011216608,1.469420721
TM-73,1.363015782,0.008353617,0.749675463,1.978365531,1.228690068
TM-74,1.495755463,-0.061600166,0.455329455,2.032675038,1.577345583
TM-75,1.476886266,-0.028901906,0.602584144,2.057103948,1.454519804
TM-76,1.674668078,0.007505785,0.475468274,2.050144425,1.57467615
TM-77,1.259529537,-0.059835705,0.571367757,1.870319323,1.298951566
TM-78,1.341643734,-0.030603006,0.491075263,1.814092597,1.323017334
TM-79,1.345149136,-0.064368477,0.504419712,1.913244123,1.408824412
TM-8,1.510477774,-0.089824979,0.329351027,1.967681422,1.638330395
TM-80,1.68929313,-0.014297098,0.533861552,2.177959345,1.644097793
TM-81,1.360823215,-0.042077313,0.497412222,1.863164161,1.365751939
TM-82,1.618082215,-5.65E-05,0.559617116,2.091239701,1.531622585
TM-83,1.510806106,0.000166574,0.633026714,2.060400973,1.42737426
TM-84,1.38316267,-0.021399066,0.621153436,1.960753999,1.339600563
TM-85,1.47879058,-0.03840596,0.597229741,2.084574063,1.487344322
TM-86,1.386357586,-0.058251109,0.565592359,2.000904768,1.435312409
TM-87,1.2120204,-0.031956307,0.57207106,1.759721486,1.187650426
TM-88,1.429221159,-0.031624449,0.715472005,2.127344473,1.411872467
TM-89,1.299446313,-0.038832195,0.596659337,1.896133796,1.29947446
TM-9,1.206132556,-0.05356911,0.425796665,1.662671444,1.23687478
TM-90,1.361087641,-0.033141862,0.524553461,1.878489152,1.35393569
TM-91,1.510041998,-0.051209639,0.588892875,2.15342529,1.564532415
TM-92,1.548669362,0.001721414,0.449585988,1.914074919,1.464488931
TM-93,1.591098861,-0.008939151,0.62014074,2.146605227,1.526464487
TM-94,1.550194897,-0.049283953,0.558473485,2.142282814,1.583809328
TM-95,1.306593781,-0.076397601,0.594406791,1.988624507,1.394217716
TM-96,1.322191507,-0.068227816,0.551103338,1.951202785,1.400099447
TM-97,1.584362569,-0.05551979,0.485140785,2.133914584,1.648773799
TM-98,1.229695088,-0.080143004,0.613124731,1.93293091,1.319806179
TM-99,1.52838947,0.014163523,0.492576488,1.912912087,1.420335598
tambahanRGB-1,0.493220169,0.072,0.976,1.18,0.204
tambahanRGB-2,-0.8765,0.986,-1.86,-1.098,0.87
